DATE,PP
1,9857.833333333334
2,10256.033333333333
3,10214.966666666667
4,10062.7
5,10135.766666666666
6,10144.8
7,10120.666666666666
8,10145.0
9,10133.3
10,10131.2
11,10176.566666666668
12,10232.733333333334
13,10183.933333333332
14,10159.533333333333
15,10142.166666666666
16,10128.933333333332
17,10137.1
18,10162.533333333333
19,10140.366666666667
20,10124.333333333334
21,10144.2
22,10163.433333333332
23,10180.633333333333
24,10186.8
25,10232.266666666666
26,10213.966666666667
27,10220.066666666668
28,10084.6
29,10135.333333333334
30,10158.833333333334
31,10124.966666666667
32,10155.233333333334
33,10149.833333333334
34,10125.8
35,10137.1
36,10166.966666666667
37,10130.366666666667
38,10188.6
39,10135.1
40,10109.866666666667
41,10110.266666666666
42,10149.966666666667
43,10147.433333333332
44,10142.233333333334
45,10135.266666666666
46,10138.466666666667
47,10205.766666666666
48,10241.366666666667
49,10249.233333333334
50,10233.966666666667
51,10137.7
52,10172.033333333333
53,10130.666666666666
54,10112.066666666668
55,10143.666666666666
56,10120.266666666666
57,10126.5
58,10169.1
59,10128.033333333333
60,10101.3
61,10180.2
62,10184.366666666667
63,10224.066666666668
64,10225.566666666668
65,10154.866666666667
66,10151.333333333334
67,10127.133333333333
68,10146.333333333334
69,10140.966666666667
70,10188.333333333334
71,10149.2
72,10187.866666666667
73,10215.866666666667
74,10137.633333333333
75,10204.1
76,10213.8
77,10144.266666666666
78,10114.8
79,10170.2
80,10159.133333333333
81,10133.233333333334
82,10187.666666666666
83,10169.133333333333
84,10172.033333333333
85,10240.866666666667
86,10224.3
87,10202.1
88,10171.8
89,10141.6
90,10152.166666666666
91,10184.2
92,10153.3
93,10139.7
94,10161.033333333333
95,10217.9
96,10209.733333333334
97,10172.966666666667
98,10237.766666666666
99,10230.533333333333
100,10127.933333333332
101,10122.633333333333
102,10160.266666666666
103,10179.9
104,10167.966666666667
105,10123.3
106,10155.4
107,10147.466666666667
108,10185.2
109,10184.7
110,10284.366666666667
111,10174.566666666668
112,10153.6
113,10155.2
114,10156.2
115,10112.033333333333
116,10107.933333333332
117,10139.266666666666
118,10152.533333333333
119,10188.966666666667
120,10237.033333333333
121,10152.566666666668
